city,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,81.04,4.0,,4.0,1940.0,53.450223,14.5150004,4.26,1.0,0.469,1.062,1.005,0.665,0.527,1.366,0.667,condominium,no,yes,no,no,yes,799000
szczecin,26.0,2.0,3.0,4.0,1970.0,53.4223727,14.5195649,2.75,5.0,0.144,0.753,0.916,0.847,0.678,0.846,0.207,condominium,no,no,no,no,yes,349000
szczecin,38.5,2.0,,2.0,2012.0,53.4795911,14.541813,6.38,2.0,1.487,2.835,1.149,0.718,0.454,3.069,0.253,condominium,no,no,no,no,no,455000
szczecin,48.5,2.0,8.0,12.0,1987.0,53.3748735,14.6565847,8.32,11.0,0.13,0.381,0.574,0.208,0.393,,0.397,cooperative,yes,yes,yes,no,yes,515000
szczecin,31.0,2.0,3.0,4.0,2023.0,53.3932827,14.4832796,6.14,0.0,1.884,3.478,0.855,1.809,0.791,4.356,0.838,condominium,no,yes,yes,no,no,439000
szczecin,71.24,3.0,4.0,5.0,1994.0,53.45152145,14.53832738,3.47,9.0,0.291,0.492,0.546,0.14,0.091,1.141,0.167,cooperative,no,yes,no,no,yes,619000
szczecin,77.0,3.0,4.0,4.0,1994.0,53.4314573,14.5412976,1.58,75.0,0.199,0.628,0.213,0.173,0.019,0.271,0.04,cooperative,no,yes,no,no,no,569000
szczecin,29.8,1.0,,,,53.399444,14.526111,3.53,8.0,0.109,1.004,0.153,0.178,0.166,2.296,0.141,condominium,no,no,yes,no,no,350000
szczecin,63.4,3.0,4.0,4.0,,53.3658827,14.6513321,8.76,6.0,0.347,0.75,0.276,0.489,0.027,,0.28,condominium,no,yes,no,no,no,545000
szczecin,73.77,4.0,3.0,4.0,1990.0,53.4545327,14.5426496,3.67,9.0,0.415,0.636,0.391,0.143,0.371,1.571,0.342,condominium,no,yes,no,no,yes,599000
